Restaurant_Name,Cusines,Ratings,Location,Delivery_review_no,Restaurant_link,Price_for_one
Mandara Grand,South Indian,4.2,rajarajeshwari nagar,10,https://www.swiggy.com/restaurants/mandara-grand-beml-layout-3rd-stage-rajarajeshwari-nagar-bangalore-208550,150
New Krishna Bhavan (Gopika A/C),North Indian,4.3,malleswaram,10,https://www.swiggy.com/restaurants/new-krishna-bhavan-gopika-a-c-sirur-park-road-malleshwaram-bangalore-54697,150
South Idlis,Chinese,4,rajajinagar,10,https://www.swiggy.com/restaurants/south-idlis-tank-bund-road-rajajinagar-bangalore-15895,75
Anna Kuteera,North Indian,4.4,banashankari,10,https://www.swiggy.com/restaurants/anna-kuteera-3rd-stage-banashankari-bangalore-15869,125
Amma Pastries,Indian,4,nagarbhavi,10,https://www.swiggy.com/restaurants/amma-pastries-mudalapalya-circle-nagarbhavi-bangalore-210099,75
Airlines Hotel,North Indian,4.4,lavelle road,10,https://www.swiggy.com/restaurants/airlines-hotel-ashok-nagar-lavelle-road-bangalore-79234,200
New Shanti Upahar,South Indian,4.4,j.p nagar,10,https://www.swiggy.com/restaurants/new-shanti-upahar-4th-t-block-jayanagar-bangalore-204706,100
Malleshwaram dose corner,Snacks,4.4,malleswaram,10,https://www.swiggy.com/restaurants/malleshwaram-dose-corner-sampige-road-malleshwaram-bangalore-122891,60
Hotel Kadamba Veg,North Indian,4.2,rajajinagar,10,https://www.swiggy.com/restaurants/hotel-kadamba-veg-basaveshwara-nagar-rajajinagar-bangalore-55176,175
Hotel Udupi Ruchi,Chinese,4.1,rajajinagar,10,https://www.swiggy.com/restaurants/hotel-udupi-ruchi-5th-block-rajajinagar-bangalore-42739,150
Maruthi Davanagere Benne Dose,South Indian,4.4,banashankari,10,https://www.swiggy.com/restaurants/maruthi-davanagere-benne-dose-3rd-stage-banashankari-bangalore-108150,60
Asha Food Camp,Beverages,4.5,malleswaram,10,https://www.swiggy.com/restaurants/asha-food-camp-sampige-road-malleshwaram-bangalore-214166,125
Hotel Chandrika,North Indian,4.3,vasanth nagar,10,https://www.swiggy.com/restaurants/hotel-chandrika-cunnigham-road-vasanth-nagar-bangalore-10844,150
Hotel Prakruthi,South Indian,4,vijayanagar,10,https://www.swiggy.com/restaurants/hotel-prakruthi-sbi-staff-colony-vijayanagar-bangalore-33076,100
Basaveshwaranagar Dose Corner,South Indian,4.2,basaveshwaranagar,10,https://www.swiggy.com/restaurants/basaveshwaranagar-dose-corner-3rd-stage-basaveshwara-nagar-bangalore-16961,50
TKS Iyengars,South Indian,4.3,basaveshwaranagar,10,https://www.swiggy.com/restaurants/tks-iyengars-3rd-stage-beml-layout-basaveshwara-nagar-bangalore-154356,100
Sri Krishna Aramane,Chinese,4.1,kumaraswamy layout,10,https://www.swiggy.com/restaurants/sri-krishna-aramane-50-feet-road-kumaraswamy-layout-bangalore-53937,75
Dose Of Davangere,South Indian,4.4,j.p nagar,10,https://www.swiggy.com/restaurants/dose-of-davangere-4th-t-block-jayanagar-bangalore-502375,75
