Restaurant_Name,Cusines,Ratings,Location,Delivery_review_no,Restaurant_link,Price_for_one
Kalpavruksha,Chinese,4.4,bannerghatta main road,20,https://www.swiggy.com/restaurants/kalpavruksha-bilekahalli-bannerghatta-main-road-bangalore-33591,75
The Srirangam Cafe,South Indian,4.4,indiranagar,20,https://www.swiggy.com/restaurants/the-srirangam-cafe-double-road-indiranagar-bangalore-690393,150
The Breakfast Nook,Continental,4.3,hsr layout,20,https://www.swiggy.com/restaurants/the-breakfast-nook-6th-sector-hsr-layout-bangalore-387468,150
Muthashy's,South Indian,4.3,btm layout,20,https://www.swiggy.com/restaurants/muthashys-maruti-nagar-btm-layout-bangalore-92389,150
Rajvardhan Foods,Maharashtrian,4.3,j.p nagar,20,https://www.swiggy.com/restaurants/rajvardhan-foods-9th-block-jayanagar-bangalore-48769,125
Dwaraka Grand,North Indian,4.1,kumaraswamy layout,20,https://www.swiggy.com/restaurants/dwaraka-grand-govinayakanahalli-kumaraswamy-layout-bangalore-28009,250
Nammane Upachar,North Indian,4.2,nagarbhavi,20,https://www.swiggy.com/restaurants/nammane-upachar-ngef-layout-ngarabhavi-bangalore-33004,150
South Grand,North Indian,4.2,uttarahalli,20,https://www.swiggy.com/restaurants/south-grand-ksrtc-layout-uttarahalli-bangalore-27999,200
Lekhana Tiffins,Desserts,3.4,kumaraswamy layout & uttarahalli,20,https://www.swiggy.com/restaurants/lekhana-tiffins-gowdanapalya-kumaraswamy-layout-and-uttarahalli-bangalore-665724,50
Chapathi Mane,South Indian,4.5,rajajinagar,20,https://www.swiggy.com/restaurants/chapathi-mane-2nd-stage-rajajinagar-bangalore-532181,100
Mini Samrat Chalukya,North Indian,4.3,vasanth nagar,20,https://www.swiggy.com/restaurants/mini-samrat-chalukya-millars-road-vasanth-nagar-bangalore-368270,175
Ayodhya Grand,North Indian,4.3,vijayanagar,20,https://www.swiggy.com/restaurants/ayodhya-grand-bda-layout-vijayanagar-bangalore-52321,100
The Cubano Sandwich Co.,Salads,4.3,hsr layout,20,https://www.swiggy.com/restaurants/the-cubano-sandwich-co-6th-sector-hsr-layout-bangalore-348811,150
Thela Tapri,Snacks,4,btm layout,20,https://www.swiggy.com/restaurants/thela-tapri-2nd-stage-btm-layout-bangalore-595258,97.5
Srinidhi Sagar Deluxe,North Indian,4.2,domlur,20,https://www.swiggy.com/restaurants/srinidhi-sagar-deluxe-1st-stage-domlur-bangalore-58746,100
Benne Dosa Corner (Davanagere),South Indian,4.2,nagarbhavi,20,https://www.swiggy.com/restaurants/benne-dosa-corner-davanagere-12th-block-service-road-nagarbhavi-bangalore-234919,75
Sri Udupi Sagar,North Indian,4.2,btm layout,20,https://www.swiggy.com/restaurants/sri-udupi-sagar-gangothri-circle-btm-layout-bangalore-289694,75
Sri Udupi Vaibhav,North Indian,4.4,indiranagar,20,https://www.swiggy.com/restaurants/sri-udupi-vaibhav-1st-stage-indiranagar-bangalore-308538,99.5
Kalingas,Oriya,4.2,btm layout,20,https://www.swiggy.com/restaurants/kalingas-2nd-stage-btm-layout-bangalore-206526,100
Indori Poha,Snacks,4,koramangala,20,https://www.swiggy.com/restaurants/indori-poha-1st-block-koramangala-bangalore-162807,100
Ayodhya Aahar,North Indian,4.3,new bel road,20,https://www.swiggy.com/restaurants/ayodhya-aahar-poojari-layout-new-bel-road-bangalore-185996,125
Litti Heist,Beverages,4.2,koramangala,20,https://www.swiggy.com/restaurants/litti-heist-1st-block-koramangala-bangalore-619503,100
Rotti Walla,Chinese,3.9,indiranagar,20,https://www.swiggy.com/restaurants/rotti-walla-appareddy-palya-indiranagar-bangalore-48581,100
Oru Vadakkan Cafe,Biryani,4,koramangala,20,https://www.swiggy.com/restaurants/oru-vadakkan-cafe-5th-block-koramangala-bangalore-224982,200
D.I.E.T Carry,Salads,4.1,koramangala,20,https://www.swiggy.com/restaurants/d-i-e-t-carry-1st-block-koramangala-bangalore-482375,100
Paratha Wala,North Indian,3.8,basavanagudi,20,https://www.swiggy.com/restaurants/paratha-wala-langford-town-basavanagudi-bangalore-507739,99.5
Sweet Truth - Cake and Desserts,Bakery,4.3,j.p nagar,20,https://www.swiggy.com/restaurants/sweet-truth-cake-and-desserts-rashtriya-vidyalaya-rd-jayanagar-bangalore-93501,225
Cafe Coffee Day,Cafe,4.3,j.p nagar,20,https://www.swiggy.com/restaurants/cafe-coffee-day-2nd-block-jayanagar-bangalore-32059,150
Kwality Walls Frozen Dessert and Ice Cream Shop,Ice Cream,4.7,wilson garden,20,https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-5th-cross-wilson-garden-bangalore-317934,100
Adiga's,North Indian,3.9,majestic,20,https://www.swiggy.com/restaurants/adigas-k-g-road-majestic-bangalore-41104,100
Smoke House Deli,Continental,4.4,lavelle road,50,https://www.swiggy.com/restaurants/smoke-house-deli-ashok-nagar-lavelle-road-bangalore-10238,400
CakeZone,Desserts,4.2,dr rajkumar road,50,https://www.swiggy.com/restaurants/cakezone-dr-rajkumar-road-bangalore-75878,100
Kovai Kitchen,Biryani,3.3,btm layout,50,https://www.swiggy.com/restaurants/kovai-kitchen-1st-stage-btm-layout-bangalore-692656,200
"No Sugar Please, Sweets & Juices",Salads,4.4,tavarekere,50,https://www.swiggy.com/restaurants/no-sugar-please-sweets-and-juices-sg-palya-tavarekere-bangalore-328912,100
Kullad Cafe,Snacks,4,btm layout,50,https://www.swiggy.com/restaurants/kullad-cafe-2nd-stage-btm-layout-bangalore-16197,75
Udupi Veg,South Indian,4.3,j.p nagar,50,https://www.swiggy.com/restaurants/udupi-veg-1st-stage-j-p-nagar-bangalore-154381,100
Lulu Hypermarket,Continental,3.9,rajajinagar,50,https://www.swiggy.com/restaurants/lulu-hypermarket-mysore-deviation-road-rajajinagar-bangalore-510627,175
Bansuri Sweets,Desserts,4.1,btm layout,50,https://www.swiggy.com/restaurants/bansuri-sweets-2nd-stage-btm-layout-bangalore-95506,75
The Salad Studio,Salads,4.4,koramangala,50,https://www.swiggy.com/restaurants/the-salad-studio-khb-colony-koramangala-bangalore-259824,175
New Agarwal Bhavan,North Indian,4.2,yeshwanthpur,50,https://www.swiggy.com/restaurants/new-agarwal-bhavan-msr-road-yeshwantpur-bangalore-108138,125
Raghavendra Tiffins,North Indian,4.2,koramangala,50,https://www.swiggy.com/restaurants/raghavendra-tiffins-1st-block-koramangala-bangalore-407900,200
Ibaco,Desserts,4.2,vijayanagar,50,https://www.swiggy.com/restaurants/ibaco-rpc-layout-vijay-nagar-bangalore-49833,400
LunchBox - Meals and Thalis,North Indian,4.1,j.p nagar,50,https://www.swiggy.com/restaurants/lunchbox-meals-and-thalis-rashtriya-vidyalaya-rd-jayanagar-bangalore-93503,100
Faasos - Wraps & Rolls,Fast Food,4.2,j.p nagar,50,https://www.swiggy.com/restaurants/faasos-wraps-and-rolls-rashtriya-vidyalaya-rd-jayanagar-bangalore-93497,100
New Udupi Garden Veg,Biryani,4,j.p nagar,50,https://www.swiggy.com/restaurants/new-udupi-garden-veg-b-b-m-p-south-jayanagar-bangalore-746193,150
Sri Udupi Park,South Indian,4.4,residency road,50,https://www.swiggy.com/restaurants/sri-udupi-park-galaxy-mall-residency-road-bangalore-4046,100
Gowdru hotel,South Indian,3.4,chandralayout,50,https://www.swiggy.com/restaurants/gowdru-hotel-marenahalli-chandralayout-bangalore-40441,124.5
Poha point,Snacks,4.4,koramangala,50,https://www.swiggy.com/restaurants/poha-point-6th-block-koramangala-bangalore-307024,60
Cafe Terra,Continental,4.4,koramangala,50,https://www.swiggy.com/restaurants/cafe-terra-4th-b-block-koramangala-bangalore-6842,122.5
Calicut Restaurant,South Indian,4.1,yeshwanthpur,50,https://www.swiggy.com/restaurants/calicut-restaurant-msr-road-yeshwantpur-bangalore-42451,125
TrueCakes - Fresh | Eggless | Cakes,Desserts,4.2,btm layout,50,https://www.swiggy.com/restaurants/truecakes-fresh-eggless-cakes-2nd-stage-btm-layout-bangalore-317817,150
Cake Works,Bakery,4,btm layout,50,https://www.swiggy.com/restaurants/cake-works-2nd-stage-btm-layout-bangalore-634160,200
Uncle Peter's Pancakes,Continental,4.2,j.p nagar,50,https://www.swiggy.com/restaurants/uncle-peters-pancakes-8th-block-jayanagar-bangalore-710653,150
Meat and Eat-Basavanagudi,Fast Food,3.4,banashankari,50,https://www.swiggy.com/restaurants/meat-and-eat-basavanagudi-t-block-banashankari-bangalore-93574,200
Between The Bread,American,4,j.p nagar,50,https://www.swiggy.com/restaurants/between-the-bread-8th-block-jayanagar-bangalore-710495,150
Chillies,North Indian,3.9,koramangala,50,https://www.swiggy.com/restaurants/chillies-khb-colony-koramangala-bangalore-685094,200
Food Darzee,North Indian,4.1,indiranagar,50,https://www.swiggy.com/restaurants/food-darzee-binnamangala-indiranagar-bangalore-698749,250
The Fruit Bowl,Juices,4.4,btm layout,50,https://www.swiggy.com/restaurants/the-fruit-bowl-2nd-stage-btm-layout-bangalore-352309,100
Blue Tokai Coffee Roasters,Healthy Food,4.5,koramangala,50,https://www.swiggy.com/restaurants/blue-tokai-coffee-roasters-8th-block-koramangala-bangalore-91628,400
Kota Kachori And Falahaar,Snacks,3.9,j.p nagar,50,https://www.swiggy.com/restaurants/kota-kachori-and-falahaar-9th-block-jayanagar-bangalore-424730,75
Udupi Garden,Chinese,3.7,mathikere,50,https://www.swiggy.com/restaurants/udupi-garden-ramaiah-college-stop-mathikere-bangalore-2592,150
Kapoor's Cafe,North Indian,4.2,j.p nagar,50,https://www.swiggy.com/restaurants/kapoors-cafe-3rd-block-jayanagar-bangalore-102324,250
Sukh Sagar,South Indian,4.3,koramangala,50,https://www.swiggy.com/restaurants/sukh-sagar-5th-a-block-koramangala-bangalore-30458,200
BIB - Breakfast in the Box,Snacks,4.2,indiranagar,50,https://www.swiggy.com/restaurants/bib-breakfast-in-the-box-cmh-road-indiranagar-bangalore-718821,200
Caterspoint,Indian,4.8,hsr,50,https://www.swiggy.com/restaurants/caterspoint-hosur-road-hsr-bangalore-733092,250
Park View Restaurant,South Indian,4.4,j.p nagar,50,https://www.swiggy.com/restaurants/park-view-restaurant-3rd-phase-jp-nagar-bangalore-67683,100
BodyPower Cafe,Indian,4,koramangala,50,https://www.swiggy.com/restaurants/bodypower-cafe-khb-colony-koramangala-bangalore-721818,225
Saladspoint,Indian,5,koramangala,50,https://www.swiggy.com/restaurants/saladspoint-madiwala-koramangala-bangalore-736632,250
Bhartiya Jalpan,Sweets,4.1,indiranagar,50,https://www.swiggy.com/restaurants/bhartiya-jalpan-100-feet-road-indiranagar-bangalore-24990,150
Salad Days,Healthy Food,4.6,indiranagar,50,https://www.swiggy.com/restaurants/salad-days-sarvagna-nagar-indiranagar-bangalore-711748,250
Falhari - A Fruitful Habit,Juices,4.3,tavarekere,50,https://www.swiggy.com/restaurants/falhari-a-fruitful-habit-sg-palya-tavarekere-bangalore-434918,150
New Krishna Sagar,Chinese,4.4,frazer town,50,https://www.swiggy.com/restaurants/new-krishna-sagar-clarke-road-frazer-town-bangalore-445871,100
Udupi Upahar,Indian,4.1,j.p nagar,50,https://www.swiggy.com/restaurants/udupi-upahar-6th-phase-jp-nagar-bangalore-360402,150
Shyamji's Chole Bhature,Snacks,4.3,j.p nagar,50,https://www.swiggy.com/restaurants/shyamjis-chole-bhature-7th-phase-jp-nagar-bangalore-404896,150
Sri Udupi Grand,South Indian,3.7,ashok nagar,50,https://www.swiggy.com/restaurants/sri-udupi-grand-castle-street-ashok-nagar-bangalore-123961,50
Srinidhi Sagar,North Indian,4.1,indiranagar,50,https://www.swiggy.com/restaurants/srinidhi-sagar-kodihalli-indiranagar-bangalore-58745,100
The Fresh Press,Beverages,4.2,btm,50,https://www.swiggy.com/restaurants/the-fresh-press-brundavana-nagar-btm-bangalore-693732,100
Burger King,American,4.1,basaveshwaranagar,50,https://www.swiggy.com/restaurants/burger-king-manjunath-nagar-basaveshwar-nagar-bangalore-19956,175
Yediyur Ramanna Military Hotel,Indian,4,j.p nagar,50,https://www.swiggy.com/restaurants/yediyur-ramanna-military-hotel-7th-block-jayanagar-bangalore-450885,250
Lush - Renaissance Bengaluru Race Course Hotel By Marriott.,Continental,3.9,race course road,50,https://www.swiggy.com/restaurants/lush-renaissance-bengaluru-race-course-hotel-by-marriott-race-course-road-bangalore-284374,400
Marwadi Chaat & Tiffin Services Shanti nagar,North Indian,3.7,shanti nagar,50,https://www.swiggy.com/restaurants/marwadi-chaat-and-tiffin-services-shanti-nagar-lakshmi-road-shanthi-nagar-bangalore-132622,150
Pablo's Sandwiches,Desserts,4.2,brigade road,50,https://www.swiggy.com/restaurants/pablos-sandwiches-7th-phase-brigade-road-bangalore-577206,125
Sagar fast food,South Indian,4.4,koramangala,50,https://www.swiggy.com/restaurants/sagar-fast-food-8th-block-koramangala-bangalore-113839,100
Scoops,Beverages,4,j.p nagar,50,https://www.swiggy.com/restaurants/scoops-sarbandapalya-jp-nagar-bangalore-728198,75
McDonald's Gourmet Burger Collection,Beverages,4.3,koramangala,50,https://www.swiggy.com/restaurants/mcdonalds-gourmet-burger-collection-5th-block-koramangala-bangalore-295133,300
Momo Zone - The Momo Company,Tibetan,2.8,vasanth nagar,50,https://www.swiggy.com/restaurants/momo-zone-the-momo-company-padmavathi-complex-vasanth-nagar-bangalore-485078,100
SLAY Coffee Bar,Desserts,4.2,st marks road,50,https://www.swiggy.com/restaurants/slay-coffee-bar-st-marks-road-bangalore-326529,100
Paratha Junction,North Indian,3.2,arekere,50,https://www.swiggy.com/restaurants/paratha-junction-mico-layout-arekere-bangalore-5541,100
The Food Adda,Burgers,3.8,koramangala,50,https://www.swiggy.com/restaurants/the-food-adda-ejipura-koramangala-bangalore-362115,100
Haldirams Sweets and Namkeen,Snacks,4,rajajinagar,50,https://www.swiggy.com/restaurants/haldirams-sweets-and-namkeen-basaveshwar-nagar-rajajinagar-bangalore-737440,150
WarmOven Cake & Desserts,Desserts,3.7,vasanth nagar,50,https://www.swiggy.com/restaurants/warmoven-cake-and-desserts-millars-road-vasanth-nagar-bangalore-402710,100
Barista Coffee,Snacks,4.1,sadashiv nagar,50,https://www.swiggy.com/restaurants/barista-coffee-armane-nagar-sadashiv-nagar-bangalore-70309,175
Samosa Singh,North Indian,4.1,banashankari,50,https://www.swiggy.com/restaurants/samosa-singh-3rd-stage-banashankari-bangalore-307291,75
Wendy's,Snacks,4,btm 1st stage,50,https://www.swiggy.com/restaurants/wendys-keb-layout-btm-1st-stage-bangalore-565281,100
Sharief Bhai,Mughlai,4.1,koramangala,50,https://www.swiggy.com/restaurants/sharief-bhai-koramangala-bangalore-42060,200
S G Rao's Military Hotel,South Indian,3.8,majestic,50,https://www.swiggy.com/restaurants/s-g-raos-military-hotel-ranasinghpet-majestic-bangalore-445038,200
Kaati Zone Rolls & Wraps,Bengali,3.6,vasanth nagar,50,https://www.swiggy.com/restaurants/kaati-zone-rolls-and-wraps-millars-road-vasanth-nagar-bangalore-409923,75
Indiana Burgers,American,3.8,vasanth nagar,50,https://www.swiggy.com/restaurants/indiana-burgers-millars-road-vasanth-nagar-bangalore-402714,75
Ghar Ki Rasoi,Italian,3.8,indiranagar,50,https://www.swiggy.com/restaurants/ghar-ki-rasoi-1st-stage-indiranagar-bangalore-40100,150
Punjabi Tadka,Chinese,3.1,btm layout,50,https://www.swiggy.com/restaurants/punjabi-tadka-2nd-stage-btm-layout-bangalore-495610,200
Shrinidhi Military Hotel,South Indian,3.9,basavanagudi,50,https://www.swiggy.com/restaurants/shrinidhi-military-hotel-south-end-road-basavanagudi-bangalore-375141,149.5
Priyadarshini Restaurant,Desserts,4.5,majestic,50,https://www.swiggy.com/restaurants/priyadarshini-restaurant-gandhi-nagar-majestic-bangalore-49281,75
Namma S.L.N,Indian,4.4,j.p nagar,50,https://www.swiggy.com/restaurants/namma-s-l-n-2nd-block-jayanagar-bangalore-552167,125
South Thindis,Sweets,4.4,basavanagudi,50,https://www.swiggy.com/restaurants/south-thindis-siolim-basavanagudi-bangalore-670813,100
Sri Udupi Grand Veg,North Indian,4.3,shanti nagar,50,https://www.swiggy.com/restaurants/sri-udupi-grand-veg-akkithimmanahalli-shanti-nagar-bangalore-317997,125
TEA TIME,Snacks,4.1,j.p nagar,50,https://www.swiggy.com/restaurants/tea-time-main-road-jayanagar-bangalore-726894,75
Social,Chinese,4.2,mg road,50,https://www.swiggy.com/restaurants/social-church-street-mg-road-bangalore-17118,250
Drunken Monkey,Beverages,4.5,new bel road,50,https://www.swiggy.com/restaurants/drunken-monkey-new-bel-road-bangalore-29058,200
New Modern Hotel,South Indian,4.6,basavanagudi,50,https://www.swiggy.com/restaurants/new-modern-hotel-parvathipuram-basavanagudi-bangalore-501190,150
Purple Hippie,Healthy Food,4.5,j.p nagar,50,https://www.swiggy.com/restaurants/purple-hippie-jayanagar-jp-nagar-bangalore-664770,125
Sai cafe veg,Chinese,4.3,malleswaram,50,https://www.swiggy.com/restaurants/sai-cafe-veg-yalappa-garden-malleshwaram-bangalore-94717,125
Poha on wheel,Sweets,4.2,koramangala,50,https://www.swiggy.com/restaurants/poha-on-wheel-jayanagar-koramangala-bangalore-719512,100
Kavali Hotel,South Indian,4.3,banashankari,50,https://www.swiggy.com/restaurants/kavali-hotel-3rd-stage-banashankari-bangalore-163519,125
Udupi Srikrishna Rajathadri,South Indian,4.2,malleswaram,50,https://www.swiggy.com/restaurants/udupi-srikrishna-rajathadri-14th-cross-rd-malleshwaram-bangalore-691072,95
Kalpavriksha Upahara,North Indian,4.5,j.p nagar,50,https://www.swiggy.com/restaurants/kalpavriksha-upahara-4th-t-block-jayanagar-bangalore-163504,100
Sri Maruthi Miltry Hotel,South Indian,3.7,rajajinagar,50,https://www.swiggy.com/restaurants/sri-maruthi-miltry-hotel-1st-block-rajajinagar-bangalore-54698,125
Marathi Kitchen,Maharashtrian,4.3,j.p nagar,50,https://www.swiggy.com/restaurants/marathi-kitchen-4th-block-jayanagar-bangalore-636609,150
Uday Sweets,Rajasthani,4.1,koramangala,100,https://www.swiggy.com/restaurants/uday-sweets-6th-block-koramangala-bangalore-234,50
Navya Samrat,South Indian,4.2,ashok nagar,100,https://www.swiggy.com/restaurants/navya-samrat-infantry-road-ashok-nagar-bangalore-633113,250
Nammura Upachara,Chinese,4.2,rajajinagar,100,https://www.swiggy.com/restaurants/nammura-upachara-west-of-chord-road-rajajinagar-bangalore-110506,150
Davanagere Benne Dose Hut,South Indian,4.1,banashankari,100,https://www.swiggy.com/restaurants/davanagere-benne-dose-hut-avalahalli-banashankari-bangalore-221597,100
Suchi Ruchi,Chinese,4,malleswaram,100,https://www.swiggy.com/restaurants/suchi-ruchi-10th-cross-road-malleshwaram-bangalore-2408,100
SLV Refereshments,South Indian,4.3,banashankari,100,https://www.swiggy.com/restaurants/slv-refereshments-3rd-stage-banashankari-bangalore-396486,50
Malabar Bay,Seafood,3.8,koramangala,100,https://www.swiggy.com/restaurants/malabar-bay-koramangala-bangalore-5550,150
Hotel Nalapaka,Indian,4.3,rajajinagar,100,https://www.swiggy.com/restaurants/hotel-nalapaka-1st-block-rajajinagar-bangalore-523416,300
Juice Junction & Snacks,Chinese,4.2,j.p nagar,100,https://www.swiggy.com/restaurants/juice-junction-and-snacks-4th-t-block-east-jayanagar-bangalore-339998,100
Afghani Tandoori Hub,Chinese,3.2,btm layout,100,https://www.swiggy.com/restaurants/afghani-tandoori-hub-chocolate-factory-road-btm-layout-bangalore-495055,125
SLV Refreshment,Indian,4.2,kumaraswamy layout,100,https://www.swiggy.com/restaurants/slv-refreshment-1st-stage-kumaraswamy-layout-bangalore-246954,50
Kedia's Funfood,Street Food,4.4,j.p nagar,100,https://www.swiggy.com/restaurants/kedias-funfood-4th-block-jayanagar-bangalore-5162,100
Kamadhenu Veg,North Indian,4.6,nagarbhavi,100,https://www.swiggy.com/restaurants/kamadhenu-veg-outer-ring-rd-nagarbhavi-bangalore-705980,100
Virinchi Cafe,South Indian,4.2,ashok nagar,100,https://www.swiggy.com/restaurants/virinchi-cafe-residency-road-ashok-nagar-bangalore-471009,125
Chefmaster,Kerala,4.1,j.p nagar,100,https://www.swiggy.com/restaurants/chefmaster-4th-t-block-jayanagar-bangalore-62758,150
Puliyogare Mane,Indian,4.3,nagarbhavi,100,https://www.swiggy.com/restaurants/puliyogare-mane-vidyagiri-layout-nagarbhavi-bangalore-378725,50
Sri Ganesh Upahara,Chinese,4.2,vijayanagar,100,https://www.swiggy.com/restaurants/sri-ganesh-upahara-govindaraja-nagar-ward-vijayanagar-bangalore-643250,100
Mama Mangaalore,South Indian,4,koramangala,100,https://www.swiggy.com/restaurants/mama-mangaalore-truffles-koramangala-bangalore-679109,125
Sri Udupi Utsav,Indian,4.6,koramangala,100,https://www.swiggy.com/restaurants/sri-udupi-utsav-80-feet-rd-koramangala-bangalore-666659,149.5
Malleshwaram Thatte Idly Cafe & By2 Coffee Point,Beverages,4.3,malleswaram,100,https://www.swiggy.com/restaurants/malleshwaram-thatte-idly-cafe-and-by2-coffee-point-16th-cross-malleshwaram-bangalore-425627,50
Cafe Mor'ish,American,4.4,richmond road,100,https://www.swiggy.com/restaurants/cafe-morish-richmond-building-richmond-road-bangalore-63082,250
Simple Thindies,Snacks,4.3,banashankari,100,https://www.swiggy.com/restaurants/simple-thindies-1st-stage-banashankari-bangalore-389651,100
Temple of the Senses,Beverages,4.4,mg road,100,https://www.swiggy.com/restaurants/temple-of-the-senses-church-street-mg-road-bangalore-638157,350
Sai Guru Veg,South Indian,4.4,btm layout,100,https://www.swiggy.com/restaurants/sai-guru-veg-mahalakshmi-layout-yeshwantpur-bangalore-593574,75
Ayodhya Sagara,South Indian,4.2,yeshwanthpur,100,https://www.swiggy.com/restaurants/ayodhya-sagara-beml-layout-basaveshwara-nagar-bangalore-60852,100
Prasiddhi Food Corner,South Indian,4.1,basaveshwaranagar,100,https://www.swiggy.com/restaurants/prasiddhi-food-corner-1st-phase-jp-nagar-bangalore-696826,150
New Aaradhya Food Line,South Indian,4.4,j.p nagar,100,https://www.swiggy.com/restaurants/new-aaradhya-food-line-2nd-stage-banashankari-bangalore-460598,250
Jai Mataji Farsan and Sweets,Snacks,4.2,banashankari,100,https://www.swiggy.com/restaurants/jai-mataji-farsan-and-sweets-triveni-road-yeshwantpur-bangalore-189792,100
Kerala Pavilion,Seafood,4.1,yeshwanthpur,100,https://www.swiggy.com/restaurants/kerala-pavilion-domlur-layout-indiranagar-bangalore-608,150
Bihar ki rasoi,Chinese,3.7,indiranagar,100,https://www.swiggy.com/restaurants/bihar-ki-rasoi-hal-2nd-stage-indiranagar-bangalore-591223,5
Thottathil Restaurant,South Indian,3.8,indiranagar,100,https://www.swiggy.com/restaurants/thottathil-restaurant-maruti-nagar-btm-layout-bangalore-40098,100
Salad Matters,Healthy Food,4.5,btm layout,100,https://www.swiggy.com/restaurants/salad-matters-4th-block-koramangala-bangalore-394749,200
Yogisthaan,North Indian,4.3,koramangala,100,https://www.swiggy.com/restaurants/yogisthaan-indiranagar-bangalore-256,300
Swadista Aahar,Snacks,4.1,indiranagar,100,https://www.swiggy.com/restaurants/swadista-aahar-2nd-stage-btm-layout-bangalore-176315,125
Mangaluru Kairuchi,Seafood,4,btm layout,100,https://www.swiggy.com/restaurants/mangaluru-kairuchi-btm-layout-bangalore-401448,100
Tewari Bros Mithai Shop,Rajasthani,3.7,btm layout,100,https://www.swiggy.com/restaurants/tewari-bros-mithai-shop-dickenson-road-commercial-street-bangalore-2846,75
Copper + Cloves,Continental,4.7,commercial street,100,https://www.swiggy.com/restaurants/copper-cloves-indiranagar-domlur-bangalore-694034,400
BIB Cafe - English Breakfast in the Box,Continental,4.1,domlur,100,https://www.swiggy.com/restaurants/bib-cafe-english-breakfast-in-the-box-sector-6-hsr-layout-bangalore-693182,200
Panditji - Ras Bana Rahe,Chaat,4.1,hsr layout,100,https://www.swiggy.com/restaurants/panditji-ras-bana-rahe-5th-block-koramangala-bangalore-616522,100
Sagar Gardenia,North Indian,4.3,koramangala,100,https://www.swiggy.com/restaurants/sagar-gardenia-vijayanagar-r-r-nagara-bangalore-721952,125
Kannur food kitchen,Biryani,3.7,rajarajeshwari nagar,100,https://www.swiggy.com/restaurants/kannur-food-kitchen-1st-stage-btm-layout-bangalore-337335,100
Shree Ganesha Fruit Juice Center,Beverages,4.2,btm layout,100,https://www.swiggy.com/restaurants/shree-ganesha-fruit-juice-center-ganganagar-r-t-nagar-bangalore-462132,75
ARAKU Coffee,Beverages,4.4,rt nagar,100,https://www.swiggy.com/restaurants/araku-coffee-hal-2nd-stage-indiranagar-bangalore-370442,250
Chettinad Food House,Indian,3.9,indiranagar,100,https://www.swiggy.com/restaurants/chettinad-food-house-jai-bheema-nagar-btm-layout-bangalore-256302,100
HumbleBean Coffee,Desserts,4.5,btm layout,100,https://www.swiggy.com/restaurants/humblebean-coffee-defence-colony-indiranagar-bangalore-648523,600
"Panditji - ras bana rahe( Pooris, Samosas, Kachori",Chaat,4.1,indiranagar,100,https://www.swiggy.com/restaurants/panditji-ras-bana-rahe-pooris-samosas-kachori-hal-2nd-stage-indiranagar-bangalore-415318,100
Om meals and paratha junction,Thalis,3.7,indiranagar,100,https://www.swiggy.com/restaurants/om-meals-and-paratha-junction-a-k-colony-new-bel-road-bangalore-110425,2.5
Cardamom Ghar ka Swad,Chinese,4.1,new bel road,100,https://www.swiggy.com/restaurants/cardamom-ghar-ka-swad-2nd-stage-btm-layout-bangalore-331264,75
Refresh Bay,Indian,4.2,btm layout,100,https://www.swiggy.com/restaurants/refresh-bay-beml-layout-3rd-stage-rajarajeshwari-nagar-bangalore-356904,150
New Swathi Grand Pure Veg,North Indian,4.2,rajarajeshwari nagar,100,https://www.swiggy.com/restaurants/new-swathi-grand-pure-veg-gokula-1st-stage-yeshwantpur-bangalore-52929,100
Bhagatram Sweets,Indian,3.5,yeshwanthpur,100,https://www.swiggy.com/restaurants/bhagatram-sweets-frazer-town-ulsoor-bangalore-348168,150
Saltlake,Indian,4,ulsoor,100,https://www.swiggy.com/restaurants/saltlake-ews-colony-btm-layout-bangalore-378458,175
Krumb Kraft,Snacks,4.6,btm layout,100,https://www.swiggy.com/restaurants/krumb-kraft-domlur-indiranagar-bangalore-672109,225
Craving O Clock,Beverages,4.3,indiranagar,100,https://www.swiggy.com/restaurants/craving-o-clock-2nd-stage-btm-layout-bangalore-362852,150
Maverick & Farmer Coffee,American,4.2,btm layout,100,https://www.swiggy.com/restaurants/maverick-and-farmer-coffee-15th-main-rd-koramangala-bangalore-699557,400
Om Sai Ram Food Junction,Bengali,3.8,koramangala,100,https://www.swiggy.com/restaurants/om-sai-ram-food-junction-hal-2nd-stage-indiranagar-bangalore-570178,2.5
Kothimbir,Seafood,4.2,indiranagar,100,https://www.swiggy.com/restaurants/kothimbir-bbmp-east-indiranagar-bangalore-735920,150
Cafe Arabica,Desserts,4.1,indiranagar,100,https://www.swiggy.com/restaurants/cafe-arabica-mosque-road-frazer-town-bangalore-629210,225
Flavors of North,Chinese,3.9,frazer town,100,https://www.swiggy.com/restaurants/flavors-of-north-msr-collage-road-new-bel-road-bangalore-5343,150
Tapas Hideout,Snacks,4.1,new bel road,100,https://www.swiggy.com/restaurants/tapas-hideout-hal-2nd-stage-indiranagar-bangalore-253455,150
Hungrama Restaurant,Salads,4.2,indiranagar,100,https://www.swiggy.com/restaurants/hungrama-restaurant-ak-colony-mathikere-bangalore-535659,225
M.S Dose Corner,South Indian,4.8,mathikere,100,https://www.swiggy.com/restaurants/m-s-dose-corner-2nd-stage-bala-anjaneya-temple-road-bangalore-587345,50
New Taj Darbar,Indian,3.4,bala anjaneya temple road,100,https://www.swiggy.com/restaurants/new-taj-darbar-saint-marys-church-road-shivajinagar-bangalore-196047,150
